IT Corporation,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,
"1 March-30 June, 2026",,,,,,,,,,,,

,CB/TB,Carol,Colin,Heinz,KP/CM,Kevin,Matt,Matt/TB,SG,Tarryn,Not specified,Total
Income,,,,,,,,,,,,
In - IT Corp,,,,,,,,,,,,
Reece,,,,,,,,,,,525.00,525.00
Total for Onsite,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R47,827.50","R47,827.50"
R/T,,,,,,,,"7,500.00",,,"9,208.75","16,708.75"
Workshop,,,,,,,,"1,125.00",,,"74,267.50","75,392.50"
Total for Labour,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R51,320.00",R0.00,R0.00,"R849,854.87","R901,174.87"
Other Income,,,,,,,,,,,"4,817.97","4,817.97"
S/W,,,,,,"12,882.24",,,,,"2,000.00","14,882.24"
Microsoft Windows,,,,,,"1,929.00",,,,,,"1,929.00"
NABLE,,,,,,,,,,,,
AV Defender Monthly,,,,,,,,,,,"19,956.00","19,956.00"
Backup - Advance Server,,,,,,,,,,,"13,700.00","13,700.00"
Backup - PC/LT,,,,,,,,,,,"5,259.20","5,259.20"
Backup - Plus Server,,,,,,,,,,,"16,940.00","16,940.00"
Backup - Server,,,,,,,,,,,"4,800.00","4,800.00"
IPro - LT/PC,,,,,,,,,,,"123,197.88","123,197.88"
IPro - Server,,,,,,,,,,,"21,310.00","21,310.00"
MSP Backup,,,,,,,,,275.00,,"29,541.32","29,816.32"
MSP Backup Server,,,,,,,,,,,"3,000.00","3,000.00"
Total for NABLE,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R275.00,R0.00,"R237,704.40","R237,979.40"
Total for S/W,R0.00,R0.00,R0.00,R0.00,R0.00,"R14,811.24",R0.00,R0.00,R275.00,R0.00,"R239,704.40","R254,790.64"
Subcontractor - Income,,,,,,,,,,,,
Sub Labour,,,,"2,520.00",,"1,650.00",,,"5,670.00","1,980.00",,"11,820.00"
Sub Travel,,,,,,425.00,,,650.00,,,"1,075.00"
Total for Subcontractor - Income,R0.00,R0.00,R0.00,"R2,520.00",R0.00,"R2,075.00",R0.00,R0.00,"R6,320.00","R1,980.00",R0.00,"R12,895.00"
Travel,,,,,,,,,,,,
Call Out,,,,,,,,,,,"17,947.50","17,947.50"
Total for Travel,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R17,947.50","R17,947.50"
VOIP,,,,"6,400.00",,"1,225.00",,"3,600.00",,,,"11,225.00"
Calls,,,,,,,,,,,"69,594.53","69,594.53"
Number Port,,,,,,,,,,,"2,710.00","2,710.00"
PBX,,,,,,850.00,"3,000.00",,,,"108,460.00","112,310.00"
Phone Rental,,,,,,,,,,,"5,660.00","5,660.00"
Setup,,,,,,,,,,,950.00,950.00
